biosample_id_namespace	biosample_local_id	collection_id_namespace	collection_local_id
https://data.4dnucleome.org	6fe87c1e-2a9a-4721-953f-508e4da3edd8	https://data.4dnucleome.org	73d5cf78-bbae-4572-9159-c364f8abe154
https://data.4dnucleome.org	d0b1ae58-69ca-479b-b04f-150401ffb7c3	https://data.4dnucleome.org	4b14a35d-0da4-4c2f-9537-b2ee7ae935c0
https://data.4dnucleome.org	9271ad13-cf87-450e-be14-51e8a674ad0b	https://data.4dnucleome.org	6880338d-de39-4972-ac87-4f96f9fdc151
https://data.4dnucleome.org	285a2f26-47cf-4d93-855f-818fe4d2fbdc	https://data.4dnucleome.org	cbdafb6f-2a86-4e77-b9bc-4b352bb66e3b
https://data.4dnucleome.org	4e03f29e-320c-4fe9-96da-5a1ffc9eb37e	https://data.4dnucleome.org	a1e8b86c-2abf-439a-9726-e491f4522e65
https://data.4dnucleome.org	ce736cf3-a934-4e6b-a508-bb04a401cadf	https://data.4dnucleome.org	51e41093-1c14-4971-a4c2-2d006a2cc171
https://data.4dnucleome.org	e60dfd62-74e5-400c-be8c-d0fd0105766d	https://data.4dnucleome.org	f045b35d-642f-47a8-a7be-3614deac9c26
https://data.4dnucleome.org	ab615b85-fdf9-44d4-b748-ba05925916e2	https://data.4dnucleome.org	37ea6875-79fe-4149-9449-b2b45b737b1a
https://data.4dnucleome.org	3d5c7835-00e8-422e-a3d8-c8bfc1afa97a	https://data.4dnucleome.org	a2498bf6-6eed-44bd-ae87-bffd9763491e
https://data.4dnucleome.org	94c62476-b87d-45bc-b4d7-4ee59358db56	https://data.4dnucleome.org	07f6b8f3-20b1-4e23-ae7e-a7c0e116b94f
https://data.4dnucleome.org	398b7795-5d92-4734-83bb-fa5519162bec	https://data.4dnucleome.org	20235761-af1b-43e3-afaf-f562a6331dd6
https://data.4dnucleome.org	1d335e7b-6fec-4a88-bec5-012c9af6c468	https://data.4dnucleome.org	a9913b4b-3fd0-4da6-95d8-0148ccee9267
https://data.4dnucleome.org	a389cc8e-9661-4872-9643-d5fea30a7413	https://data.4dnucleome.org	f7a9fecd-ec1c-4d7d-881e-32af78fada21
https://data.4dnucleome.org	baf4c425-42e8-4889-8ef8-69caa835c7df	https://data.4dnucleome.org	3f3995d6-6346-42b9-8268-0d0270b33c5d
https://data.4dnucleome.org	686156a0-bacd-4124-88af-e694be3f59aa	https://data.4dnucleome.org	3d3b850f-cca7-4758-91e6-bc08978331af
https://data.4dnucleome.org	cc6a7e8e-41a1-4b4f-aef5-83b4752fb9b1	https://data.4dnucleome.org	f55cbb51-48c0-43aa-af38-3ad44bfd3ad8
https://data.4dnucleome.org	6a7dd26b-b0e2-4e8f-88e5-ffc1fe867dbb	https://data.4dnucleome.org	391bbec6-ecdc-48b2-8641-bfc545c7ac14
https://data.4dnucleome.org	adf90532-2ee6-4992-8d0b-413e05075eef	https://data.4dnucleome.org	2c7d5913-3bf4-4114-b027-b3ffcf0c3514
https://data.4dnucleome.org	20587f46-c491-4aca-915d-4460dc9d2df8	https://data.4dnucleome.org	48626de2-e5f8-45c4-85f0-ab5efa3c250a
