id_namespace	local_id	persistent_id	creation_time	abbreviation	name	description	has_time_series_data
tag:sennetconsortium.org,2025:	SNT224.SFKW.566	https://doi.org/10.35079/SNT224.SFKW.566	2024-07-23 13:47:40.988		SNT224.SFKW.566	RNAseq data from the heart of a 43.0-year-old white male	
tag:sennetconsortium.org,2025:	SNT982.MKZR.896	https://doi.org/10.35079/SNT982.MKZR.896	2024-04-22 18:35:09.846		SNT982.MKZR.896	Histology data from the lung (right) of a 43.0-year-old white male	
tag:sennetconsortium.org,2025:	SNT529.TCNL.495	https://doi.org/10.35079/SNT529.TCNL.495	2024-04-22 18:36:17.436		SNT529.TCNL.495	Histology data from the lung (right) of a 43.0-year-old white male	
tag:sennetconsortium.org,2025:	SNT957.DFHR.839	https://doi.org/10.35079/SNT957.DFHR.839	2024-04-22 18:34:53.031		SNT957.DFHR.839	Histology data from the heart of a 43.0-year-old white male	
tag:sennetconsortium.org,2025:	SNT422.KPNT.292	https://doi.org/10.35079/SNT422.KPNT.292	2024-07-23 13:43:08.188		SNT422.KPNT.292	RNAseq data from the lung (right) of a 43.0-year-old white male	
tag:sennetconsortium.org,2025:	SNT462.HVBJ.856	https://doi.org/10.35079/SNT462.HVBJ.856	2024-04-22 18:37:25.091		SNT462.HVBJ.856	Histology data from the lung (right) of a 43.0-year-old white male	
tag:sennetconsortium.org,2025:	SNT868.QKRV.993	https://doi.org/10.35079/SNT868.QKRV.993	2024-04-22 18:39:03.937		SNT868.QKRV.993	Histology data from the heart of a 43.0-year-old white male	
tag:sennetconsortium.org,2025:	SNT456.CPHG.654	https://doi.org/10.35079/SNT456.CPHG.654	2024-04-22 18:33:28.808		SNT456.CPHG.654	Histology data from the heart of a 43.0-year-old white male	
tag:sennetconsortium.org,2025:	SNT497.XVBH.665	https://doi.org/10.35079/SNT497.XVBH.665	2024-04-22 18:34:11.066		SNT497.XVBH.665	Histology data from the lung (right) of a 43.0-year-old white male	
tag:sennetconsortium.org,2025:	SNT287.WLHD.692	https://doi.org/10.35079/SNT287.WLHD.692	2024-04-22 18:39:15.487		SNT287.WLHD.692	Histology data from the heart of a 43.0-year-old white male	
