id_namespace	local_id	project_id_namespace	project_local_id	persistent_id	creation_time	sample_prep_method	anatomy
tag:motrpac-data.org,2023:	90217016002	tag:motrpac-data.org,2023:	motrpac			OBI:0003090	UBERON:0002369
tag:motrpac-data.org,2023:	90217016003	tag:motrpac-data.org,2023:	motrpac			OBI:0000366	UBERON:0002369
tag:motrpac-data.org,2023:	90217016004	tag:motrpac-data.org,2023:	motrpac				UBERON:0002369
tag:motrpac-data.org,2023:	90218016002	tag:motrpac-data.org,2023:	motrpac			OBI:0003090	UBERON:0002369
tag:motrpac-data.org,2023:	90218016003	tag:motrpac-data.org,2023:	motrpac			OBI:0000366	UBERON:0002369
tag:motrpac-data.org,2023:	90218016004	tag:motrpac-data.org,2023:	motrpac				UBERON:0002369
tag:motrpac-data.org,2023:	90218016005	tag:motrpac-data.org,2023:	motrpac			OBI:0002773	UBERON:0002369
tag:motrpac-data.org,2023:	90220016005	tag:motrpac-data.org,2023:	motrpac			OBI:0002773	UBERON:0002369
tag:motrpac-data.org,2023:	90222016002	tag:motrpac-data.org,2023:	motrpac			OBI:0003090	UBERON:0002369
tag:motrpac-data.org,2023:	90222016003	tag:motrpac-data.org,2023:	motrpac			OBI:0000366	UBERON:0002369
tag:motrpac-data.org,2023:	90222016004	tag:motrpac-data.org,2023:	motrpac				UBERON:0002369
tag:motrpac-data.org,2023:	90223016002	tag:motrpac-data.org,2023:	motrpac			OBI:0003090	UBERON:0002369
tag:motrpac-data.org,2023:	90223016003	tag:motrpac-data.org,2023:	motrpac			OBI:0000366	UBERON:0002369
tag:motrpac-data.org,2023:	90223016004	tag:motrpac-data.org,2023:	motrpac				UBERON:0002369
tag:motrpac-data.org,2023:	90225016002	tag:motrpac-data.org,2023:	motrpac			OBI:0003090	UBERON:0002369
tag:motrpac-data.org,2023:	90225016003	tag:motrpac-data.org,2023:	motrpac			OBI:0000366	UBERON:0002369
tag:motrpac-data.org,2023:	90225016004	tag:motrpac-data.org,2023:	motrpac				UBERON:0002369
tag:motrpac-data.org,2023:	90227016002	tag:motrpac-data.org,2023:	motrpac			OBI:0003090	UBERON:0002369
tag:motrpac-data.org,2023:	90227016003	tag:motrpac-data.org,2023:	motrpac			OBI:0000366	UBERON:0002369
tag:motrpac-data.org,2023:	90227016004	tag:motrpac-data.org,2023:	motrpac				UBERON:0002369
tag:motrpac-data.org,2023:	90228016005	tag:motrpac-data.org,2023:	motrpac			OBI:0002773	UBERON:0002369
tag:motrpac-data.org,2023:	90229016002	tag:motrpac-data.org,2023:	motrpac			OBI:0003090	UBERON:0002369
tag:motrpac-data.org,2023:	90229016003	tag:motrpac-data.org,2023:	motrpac			OBI:0000366	UBERON:0002369
tag:motrpac-data.org,2023:	90229016004	tag:motrpac-data.org,2023:	motrpac				UBERON:0002369
tag:motrpac-data.org,2023:	90231016005	tag:motrpac-data.org,2023:	motrpac			OBI:0002773	UBERON:0002369
tag:motrpac-data.org,2023:	90232016002	tag:motrpac-data.org,2023:	motrpac			OBI:0003090	UBERON:0002369
tag:motrpac-data.org,2023:	90232016003	tag:motrpac-data.org,2023:	motrpac			OBI:0000366	UBERON:0002369
tag:motrpac-data.org,2023:	90232016004	tag:motrpac-data.org,2023:	motrpac				UBERON:0002369
tag:motrpac-data.org,2023:	90234016005	tag:motrpac-data.org,2023:	motrpac			OBI:0002773	UBERON:0002369
tag:motrpac-data.org,2023:	90237016002	tag:motrpac-data.org,2023:	motrpac			OBI:0003090	UBERON:0002369
tag:motrpac-data.org,2023:	90237016003	tag:motrpac-data.org,2023:	motrpac			OBI:0000366	UBERON:0002369
tag:motrpac-data.org,2023:	90237016004	tag:motrpac-data.org,2023:	motrpac				UBERON:0002369
tag:motrpac-data.org,2023:	90238016005	tag:motrpac-data.org,2023:	motrpac			OBI:0002773	UBERON:0002369
tag:motrpac-data.org,2023:	90239016002	tag:motrpac-data.org,2023:	motrpac			OBI:0003090	UBERON:0002369
tag:motrpac-data.org,2023:	90239016003	tag:motrpac-data.org,2023:	motrpac			OBI:0000366	UBERON:0002369
tag:motrpac-data.org,2023:	90239016004	tag:motrpac-data.org,2023:	motrpac				UBERON:0002369
tag:motrpac-data.org,2023:	90245016002	tag:motrpac-data.org,2023:	motrpac			OBI:0003090	UBERON:0002369
tag:motrpac-data.org,2023:	90245016003	tag:motrpac-data.org,2023:	motrpac			OBI:0000366	UBERON:0002369
tag:motrpac-data.org,2023:	90245016004	tag:motrpac-data.org,2023:	motrpac				UBERON:0002369
tag:motrpac-data.org,2023:	90247016005	tag:motrpac-data.org,2023:	motrpac			OBI:0002773	UBERON:0002369
tag:motrpac-data.org,2023:	90248016002	tag:motrpac-data.org,2023:	motrpac			OBI:0003090	UBERON:0002369
tag:motrpac-data.org,2023:	90248016003	tag:motrpac-data.org,2023:	motrpac			OBI:0000366	UBERON:0002369
tag:motrpac-data.org,2023:	90248016004	tag:motrpac-data.org,2023:	motrpac				UBERON:0002369
tag:motrpac-data.org,2023:	90251016002	tag:motrpac-data.org,2023:	motrpac			OBI:0003090	UBERON:0002369
tag:motrpac-data.org,2023:	90251016003	tag:motrpac-data.org,2023:	motrpac			OBI:0000366	UBERON:0002369
tag:motrpac-data.org,2023:	90251016004	tag:motrpac-data.org,2023:	motrpac				UBERON:0002369
tag:motrpac-data.org,2023:	90252016002	tag:motrpac-data.org,2023:	motrpac			OBI:0003090	UBERON:0002369
tag:motrpac-data.org,2023:	90252016003	tag:motrpac-data.org,2023:	motrpac			OBI:0000366	UBERON:0002369
tag:motrpac-data.org,2023:	90252016004	tag:motrpac-data.org,2023:	motrpac				UBERON:0002369
tag:motrpac-data.org,2023:	90254016002	tag:motrpac-data.org,2023:	motrpac			OBI:0003090	UBERON:0002369
tag:motrpac-data.org,2023:	90254016003	tag:motrpac-data.org,2023:	motrpac			OBI:0000366	UBERON:0002369
tag:motrpac-data.org,2023:	90254016004	tag:motrpac-data.org,2023:	motrpac				UBERON:0002369
tag:motrpac-data.org,2023:	90255016005	tag:motrpac-data.org,2023:	motrpac			OBI:0002773	UBERON:0002369
tag:motrpac-data.org,2023:	90256016005	tag:motrpac-data.org,2023:	motrpac			OBI:0002773	UBERON:0002369
tag:motrpac-data.org,2023:	90258016002	tag:motrpac-data.org,2023:	motrpac			OBI:0003090	UBERON:0002369
tag:motrpac-data.org,2023:	90258016003	tag:motrpac-data.org,2023:	motrpac			OBI:0000366	UBERON:0002369
tag:motrpac-data.org,2023:	90258016004	tag:motrpac-data.org,2023:	motrpac				UBERON:0002369
tag:motrpac-data.org,2023:	90259016002	tag:motrpac-data.org,2023:	motrpac			OBI:0003090	UBERON:0002369
tag:motrpac-data.org,2023:	90259016003	tag:motrpac-data.org,2023:	motrpac			OBI:0000366	UBERON:0002369
tag:motrpac-data.org,2023:	90259016004	tag:motrpac-data.org,2023:	motrpac				UBERON:0002369
tag:motrpac-data.org,2023:	90265016002	tag:motrpac-data.org,2023:	motrpac			OBI:0003090	UBERON:0002369
tag:motrpac-data.org,2023:	90265016003	tag:motrpac-data.org,2023:	motrpac			OBI:0000366	UBERON:0002369
tag:motrpac-data.org,2023:	90265016004	tag:motrpac-data.org,2023:	motrpac				UBERON:0002369
tag:motrpac-data.org,2023:	90265016005	tag:motrpac-data.org,2023:	motrpac			OBI:0002773	UBERON:0002369
tag:motrpac-data.org,2023:	90266016002	tag:motrpac-data.org,2023:	motrpac			OBI:0003090	UBERON:0002369
tag:motrpac-data.org,2023:	90266016003	tag:motrpac-data.org,2023:	motrpac			OBI:0000366	UBERON:0002369
tag:motrpac-data.org,2023:	90266016004	tag:motrpac-data.org,2023:	motrpac				UBERON:0002369
tag:motrpac-data.org,2023:	90267016002	tag:motrpac-data.org,2023:	motrpac			OBI:0003090	UBERON:0002369
tag:motrpac-data.org,2023:	90267016003	tag:motrpac-data.org,2023:	motrpac			OBI:0000366	UBERON:0002369
tag:motrpac-data.org,2023:	90267016004	tag:motrpac-data.org,2023:	motrpac				UBERON:0002369
tag:motrpac-data.org,2023:	90268016005	tag:motrpac-data.org,2023:	motrpac			OBI:0002773	UBERON:0002369
tag:motrpac-data.org,2023:	90270016005	tag:motrpac-data.org,2023:	motrpac			OBI:0002773	UBERON:0002369
tag:motrpac-data.org,2023:	90275016005	tag:motrpac-data.org,2023:	motrpac			OBI:0002773	UBERON:0002369
tag:motrpac-data.org,2023:	90280016002	tag:motrpac-data.org,2023:	motrpac			OBI:0003090	UBERON:0002369
tag:motrpac-data.org,2023:	90280016003	tag:motrpac-data.org,2023:	motrpac			OBI:0000366	UBERON:0002369
tag:motrpac-data.org,2023:	90280016004	tag:motrpac-data.org,2023:	motrpac				UBERON:0002369
tag:motrpac-data.org,2023:	90281016002	tag:motrpac-data.org,2023:	motrpac			OBI:0003090	UBERON:0002369
tag:motrpac-data.org,2023:	90281016003	tag:motrpac-data.org,2023:	motrpac			OBI:0000366	UBERON:0002369
tag:motrpac-data.org,2023:	90281016004	tag:motrpac-data.org,2023:	motrpac				UBERON:0002369
tag:motrpac-data.org,2023:	90283016002	tag:motrpac-data.org,2023:	motrpac			OBI:0003090	UBERON:0002369
tag:motrpac-data.org,2023:	90283016003	tag:motrpac-data.org,2023:	motrpac			OBI:0000366	UBERON:0002369
tag:motrpac-data.org,2023:	90283016004	tag:motrpac-data.org,2023:	motrpac				UBERON:0002369
tag:motrpac-data.org,2023:	90285016005	tag:motrpac-data.org,2023:	motrpac			OBI:0002773	UBERON:0002369
tag:motrpac-data.org,2023:	90289016002	tag:motrpac-data.org,2023:	motrpac			OBI:0003090	UBERON:0002369
tag:motrpac-data.org,2023:	90289016003	tag:motrpac-data.org,2023:	motrpac			OBI:0000366	UBERON:0002369
tag:motrpac-data.org,2023:	90289016004	tag:motrpac-data.org,2023:	motrpac				UBERON:0002369
tag:motrpac-data.org,2023:	90290016005	tag:motrpac-data.org,2023:	motrpac			OBI:0002773	UBERON:0002369
tag:motrpac-data.org,2023:	90292016002	tag:motrpac-data.org,2023:	motrpac			OBI:0003090	UBERON:0002369
tag:motrpac-data.org,2023:	90292016003	tag:motrpac-data.org,2023:	motrpac			OBI:0000366	UBERON:0002369
tag:motrpac-data.org,2023:	90292016004	tag:motrpac-data.org,2023:	motrpac				UBERON:0002369
tag:motrpac-data.org,2023:	90406016002	tag:motrpac-data.org,2023:	motrpac			OBI:0003090	UBERON:0002369
tag:motrpac-data.org,2023:	90406016003	tag:motrpac-data.org,2023:	motrpac			OBI:0000366	UBERON:0002369
tag:motrpac-data.org,2023:	90406016004	tag:motrpac-data.org,2023:	motrpac				UBERON:0002369
tag:motrpac-data.org,2023:	90406016005	tag:motrpac-data.org,2023:	motrpac			OBI:0002773	UBERON:0002369
tag:motrpac-data.org,2023:	90408016005	tag:motrpac-data.org,2023:	motrpac			OBI:0002773	UBERON:0002369
tag:motrpac-data.org,2023:	90409016005	tag:motrpac-data.org,2023:	motrpac			OBI:0002773	UBERON:0002369
tag:motrpac-data.org,2023:	90410016002	tag:motrpac-data.org,2023:	motrpac			OBI:0003090	UBERON:0002369
tag:motrpac-data.org,2023:	90410016003	tag:motrpac-data.org,2023:	motrpac			OBI:0000366	UBERON:0002369
tag:motrpac-data.org,2023:	90410016004	tag:motrpac-data.org,2023:	motrpac				UBERON:0002369
tag:motrpac-data.org,2023:	90412016002	tag:motrpac-data.org,2023:	motrpac			OBI:0003090	UBERON:0002369
tag:motrpac-data.org,2023:	90412016003	tag:motrpac-data.org,2023:	motrpac			OBI:0000366	UBERON:0002369
tag:motrpac-data.org,2023:	90412016004	tag:motrpac-data.org,2023:	motrpac				UBERON:0002369
tag:motrpac-data.org,2023:	90416016002	tag:motrpac-data.org,2023:	motrpac			OBI:0003090	UBERON:0002369
tag:motrpac-data.org,2023:	90416016003	tag:motrpac-data.org,2023:	motrpac			OBI:0000366	UBERON:0002369
tag:motrpac-data.org,2023:	90416016004	tag:motrpac-data.org,2023:	motrpac				UBERON:0002369
tag:motrpac-data.org,2023:	90420016002	tag:motrpac-data.org,2023:	motrpac			OBI:0003090	UBERON:0002369
tag:motrpac-data.org,2023:	90420016003	tag:motrpac-data.org,2023:	motrpac			OBI:0000366	UBERON:0002369
tag:motrpac-data.org,2023:	90420016004	tag:motrpac-data.org,2023:	motrpac				UBERON:0002369
tag:motrpac-data.org,2023:	90421016002	tag:motrpac-data.org,2023:	motrpac			OBI:0003090	UBERON:0002369
tag:motrpac-data.org,2023:	90421016003	tag:motrpac-data.org,2023:	motrpac			OBI:0000366	UBERON:0002369
tag:motrpac-data.org,2023:	90421016004	tag:motrpac-data.org,2023:	motrpac				UBERON:0002369
tag:motrpac-data.org,2023:	90422016002	tag:motrpac-data.org,2023:	motrpac			OBI:0003090	UBERON:0002369
tag:motrpac-data.org,2023:	90422016003	tag:motrpac-data.org,2023:	motrpac			OBI:0000366	UBERON:0002369
tag:motrpac-data.org,2023:	90422016004	tag:motrpac-data.org,2023:	motrpac				UBERON:0002369
tag:motrpac-data.org,2023:	90422016005	tag:motrpac-data.org,2023:	motrpac			OBI:0002773	UBERON:0002369
tag:motrpac-data.org,2023:	90423016002	tag:motrpac-data.org,2023:	motrpac			OBI:0003090	UBERON:0002369
tag:motrpac-data.org,2023:	90423016003	tag:motrpac-data.org,2023:	motrpac			OBI:0000366	UBERON:0002369
tag:motrpac-data.org,2023:	90423016004	tag:motrpac-data.org,2023:	motrpac				UBERON:0002369
tag:motrpac-data.org,2023:	90439016002	tag:motrpac-data.org,2023:	motrpac			OBI:0003090	UBERON:0002369
tag:motrpac-data.org,2023:	90439016003	tag:motrpac-data.org,2023:	motrpac			OBI:0000366	UBERON:0002369
tag:motrpac-data.org,2023:	90439016004	tag:motrpac-data.org,2023:	motrpac				UBERON:0002369
tag:motrpac-data.org,2023:	90439016005	tag:motrpac-data.org,2023:	motrpac			OBI:0002773	UBERON:0002369
tag:motrpac-data.org,2023:	90441016002	tag:motrpac-data.org,2023:	motrpac			OBI:0003090	UBERON:0002369
tag:motrpac-data.org,2023:	90441016003	tag:motrpac-data.org,2023:	motrpac			OBI:0000366	UBERON:0002369
tag:motrpac-data.org,2023:	90441016004	tag:motrpac-data.org,2023:	motrpac				UBERON:0002369
tag:motrpac-data.org,2023:	90441016005	tag:motrpac-data.org,2023:	motrpac			OBI:0002773	UBERON:0002369
tag:motrpac-data.org,2023:	90426016002	tag:motrpac-data.org,2023:	motrpac			OBI:0003090	UBERON:0002369
tag:motrpac-data.org,2023:	90426016003	tag:motrpac-data.org,2023:	motrpac			OBI:0000366	UBERON:0002369
tag:motrpac-data.org,2023:	90426016004	tag:motrpac-data.org,2023:	motrpac				UBERON:0002369
tag:motrpac-data.org,2023:	90426016005	tag:motrpac-data.org,2023:	motrpac			OBI:0002773	UBERON:0002369
tag:motrpac-data.org,2023:	90430016002	tag:motrpac-data.org,2023:	motrpac			OBI:0003090	UBERON:0002369
tag:motrpac-data.org,2023:	90430016003	tag:motrpac-data.org,2023:	motrpac			OBI:0000366	UBERON:0002369
tag:motrpac-data.org,2023:	90430016004	tag:motrpac-data.org,2023:	motrpac				UBERON:0002369
tag:motrpac-data.org,2023:	90430016005	tag:motrpac-data.org,2023:	motrpac			OBI:0002773	UBERON:0002369
tag:motrpac-data.org,2023:	90444016002	tag:motrpac-data.org,2023:	motrpac			OBI:0003090	UBERON:0002369
tag:motrpac-data.org,2023:	90444016003	tag:motrpac-data.org,2023:	motrpac			OBI:0000366	UBERON:0002369
tag:motrpac-data.org,2023:	90444016004	tag:motrpac-data.org,2023:	motrpac				UBERON:0002369
tag:motrpac-data.org,2023:	90449016002	tag:motrpac-data.org,2023:	motrpac			OBI:0003090	UBERON:0002369
tag:motrpac-data.org,2023:	90449016003	tag:motrpac-data.org,2023:	motrpac			OBI:0000366	UBERON:0002369
tag:motrpac-data.org,2023:	90449016004	tag:motrpac-data.org,2023:	motrpac				UBERON:0002369
tag:motrpac-data.org,2023:	90449016005	tag:motrpac-data.org,2023:	motrpac			OBI:0002773	UBERON:0002369
tag:motrpac-data.org,2023:	90450016002	tag:motrpac-data.org,2023:	motrpac			OBI:0003090	UBERON:0002369
tag:motrpac-data.org,2023:	90450016003	tag:motrpac-data.org,2023:	motrpac			OBI:0000366	UBERON:0002369
tag:motrpac-data.org,2023:	90450016004	tag:motrpac-data.org,2023:	motrpac				UBERON:0002369
tag:motrpac-data.org,2023:	90560016002	tag:motrpac-data.org,2023:	motrpac			OBI:0003090	UBERON:0002369
tag:motrpac-data.org,2023:	90560016003	tag:motrpac-data.org,2023:	motrpac			OBI:0000366	UBERON:0002369
tag:motrpac-data.org,2023:	90560016004	tag:motrpac-data.org,2023:	motrpac				UBERON:0002369
tag:motrpac-data.org,2023:	90576016002	tag:motrpac-data.org,2023:	motrpac			OBI:0003090	UBERON:0002369
tag:motrpac-data.org,2023:	90576016003	tag:motrpac-data.org,2023:	motrpac			OBI:0000366	UBERON:0002369
tag:motrpac-data.org,2023:	90576016004	tag:motrpac-data.org,2023:	motrpac				UBERON:0002369
tag:motrpac-data.org,2023:	90578016002	tag:motrpac-data.org,2023:	motrpac			OBI:0003090	UBERON:0002369
tag:motrpac-data.org,2023:	90578016003	tag:motrpac-data.org,2023:	motrpac			OBI:0000366	UBERON:0002369
tag:motrpac-data.org,2023:	90578016004	tag:motrpac-data.org,2023:	motrpac				UBERON:0002369
tag:motrpac-data.org,2023:	90578016005	tag:motrpac-data.org,2023:	motrpac			OBI:0002773	UBERON:0002369
tag:motrpac-data.org,2023:	90581016002	tag:motrpac-data.org,2023:	motrpac			OBI:0003090	UBERON:0002369
tag:motrpac-data.org,2023:	90581016003	tag:motrpac-data.org,2023:	motrpac			OBI:0000366	UBERON:0002369
tag:motrpac-data.org,2023:	90581016004	tag:motrpac-data.org,2023:	motrpac				UBERON:0002369
tag:motrpac-data.org,2023:	90581016005	tag:motrpac-data.org,2023:	motrpac			OBI:0002773	UBERON:0002369
tag:motrpac-data.org,2023:	90564016002	tag:motrpac-data.org,2023:	motrpac			OBI:0003090	UBERON:0002369
tag:motrpac-data.org,2023:	90564016003	tag:motrpac-data.org,2023:	motrpac			OBI:0000366	UBERON:0002369
tag:motrpac-data.org,2023:	90564016004	tag:motrpac-data.org,2023:	motrpac				UBERON:0002369
tag:motrpac-data.org,2023:	90564016005	tag:motrpac-data.org,2023:	motrpac			OBI:0002773	UBERON:0002369
tag:motrpac-data.org,2023:	90585016002	tag:motrpac-data.org,2023:	motrpac			OBI:0003090	UBERON:0002369
tag:motrpac-data.org,2023:	90585016003	tag:motrpac-data.org,2023:	motrpac			OBI:0000366	UBERON:0002369
tag:motrpac-data.org,2023:	90585016004	tag:motrpac-data.org,2023:	motrpac				UBERON:0002369
tag:motrpac-data.org,2023:	90585016005	tag:motrpac-data.org,2023:	motrpac			OBI:0002773	UBERON:0002369
tag:motrpac-data.org,2023:	90567016002	tag:motrpac-data.org,2023:	motrpac			OBI:0003090	UBERON:0002369
tag:motrpac-data.org,2023:	90567016003	tag:motrpac-data.org,2023:	motrpac			OBI:0000366	UBERON:0002369
tag:motrpac-data.org,2023:	90567016004	tag:motrpac-data.org,2023:	motrpac				UBERON:0002369
tag:motrpac-data.org,2023:	90569016005	tag:motrpac-data.org,2023:	motrpac			OBI:0002773	UBERON:0002369
tag:motrpac-data.org,2023:	90559016002	tag:motrpac-data.org,2023:	motrpac			OBI:0003090	UBERON:0002369
